,Sun Exposure,Sun Exposure,index,Soil Moisture,index,Plant Type,index,Pollinators,index,Flowering Months,index,Height (feet),index,Showy
0,"Sun, Part Shade",523,"Moist, Dry",364,Herb (perennial),645,Wind,204,Apr–May,205,3,53,Yes,718
1,"Sun, Part Shade, Shade",183,Wet,325,Graminoid (perennial),231,Larval Host (Moth),128,May–Jun,170,2.5,31,No,542
2,Sun,85,"Wet, Moist",280,Shrub,131,Native Bees,65,Jun–Aug,145,1,31,,
3,"Part Shade, Shade",66,Dry,177,Herb (annual),114,Larval Host (Butterfly); Larval Host (Moth); Wind,61,Jul–Sep,90,2–3,29,,
4,Part Shade,22,"Wet, Moist, Dry",141,"Tree, Shrub",105,"Native Bees; Beetles, Wasps, Flies",55,Mar–Apr,48,5,28,,
5,Shade,12,Moist,48,Tree,100,Larval Host (Moth); Wind,44,Jun–Jul,41,1–3,27,,
6,sun,1,,,Herb (annual or perennial),54,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",37,Apr–Jun,23,2,26,,
7,"sun, part shade, shade",1,,,"Shrub, Herb (perennial)",46,Larval Host (Butterfly),35,Indeterminate,19,1–2,20,,
8,"Sun, part shade",1,,,"Vine, Herb (perennial)",31,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",34,Jul–Aug,19,1.5,20,,
9,,,,,Vine,28,Larval Host (Butterfly); Wind,29,Sep–Nov,18,4,19,,
10,,,,,Graminoid (annual),25,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",27,May–Jul,17,3.2,18,,
11,,,,,Herb (annual or biennial),23,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",27,Aug–Oct,15,2–4,15,,
12,,,,,"Shrub, Herb (annual or perennial)",19,Native Bees; Butterflies,26,Mar–May,13,100,15,,
13,,,,,Graminoid (annual or perennial),18,Native Bees; Bombus,25,Jun–Sep,11,3–6,14,,
14,,,,,Herb (biennial),14,Native Bees; Larval Host (Moth),22,Aug–Sep,11,6.5,14,,
15,,,,,Herb (biennial or perennial),14,Larval Host (Butterfly); Larval Host (Moth),21,May–Sep,8,1–1.5,13,,
16,,,,,"Vine, Shrub",13,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",20,Apr–Jul,7,3–5,12,,
17,,,,,"Vine, Herb (annual)",7,Butterflies,19,Apr–Oct,5,6,12,,
18,,,,,"Vine, Herb (annual or perennial)",3,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies",19,Jun–Oct,5,3.5,12,,
19,,,,,"Shrub, Graminoid (perennial)",3,"Native Bees; Beetles, Wasps, Flies; Butterflies",18,Sep–Oct,5,4–6,11,,
20,,,,,"Vine, Shrub, Herb (perennial)",2,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",17,Aug–Nov,4,0.5–1,11,,
21,,,,,Shrub (annual or perennial),1,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",17,Mar–Jun,4,1.5–2,11,,
22,,,,,"Shrub, Herb (biennial or perennial)",1,"Native Bees; Beetles, Wasps, Flies; Larval Host (Moth)",13,Apr–Aug,3,80,11,,
23,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth)",12,Apr,3,3.3,9,,
24,,,,,,,"Beetles, Wasps, Flies",12,Aug,3,2–5,9,,
25,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies",12,Jul–Oct,3,0.5,9,,
26,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly)",11,Sep,3,10,9,,
27,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth)",11,Jan–Feb,3,3–4,8,,
28,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",10,Feb–Apr,2,1–4,8,,
29,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",10,Jun,2,0.6–1.5,8,,
30,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs",10,May–Oct,2,30,8,,
31,,,,,,,Native Bees; Bombus; Larval Host (Moth),10,Mar–Oct,2,0.5–1.5,8,,
32,,,,,,,"Bombus; Beetles, Wasps, Flies",9,Jul,2,4.5,7,,
33,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",9,Nov,2,10–20,7,,
34,,,,,,,Bombus,8,Feb–May,2,50,7,,
35,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies",8,Mar,2,70,7,,
36,,,,,,,Bombus; Larval Host (Butterfly); Larval Host (Moth); Wind,7,Jan–Dec,2,120,6,,
37,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",7,Mar–Jul,2,8,6,,
38,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies",7,Oct,2,60,6,,
39,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",7,Oct–Nov,1,1.5–3,6,,
40,,,,,,,Native Bees; Butterflies; Larval Host (Moth),7,Mar–Dec,1,9,6,,
41,,,,,,,Butterflies; Larval Host (Butterfly); Larval Host (Moth),6,Apr–Sep,1,25,6,,
42,,,,,,,Native Bees; Larval Host (Butterfly),6,Feb–Oct,1,3–10,5,,
43,,,,,,,Hummingbirds,6,May–Aug,1,35,5,,
44,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",6,Jan–May,1,1.3,5,,
45,,,,,,,Native Bees; Bombus; Butterflies,6,Dec–Feb,1,15,5,,
46,,,,,,,Nesting and Structure (Bees); Wind,6,"Jan–Dec, sporadic",1,6–10,5,,
47,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",6,,,4–5,5,,
48,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies",6,,,7,5,,
49,,,,,,,Moths; Butterflies,5,,,16,5,,
50,,,,,,,Butterflies; Monarchs; Larval Host (Moth),5,,,20,4,,
51,,,,,,,Butterflies; Hummingbirds,5,,,3–8,4,,
52,,,,,,,Butterflies; Monarchs,5,,,1.5–2.5,4,,
53,,,,,,,Butterflies; Larval Host (Butterfly),5,,,5–7,4,,
54,,,,,,,"Native Bees; Beetles, Wasps, Flies; Larval Host (Butterfly)",5,,,0.3–0.5,4,,
55,,,,,,,Native Bees; Butterflies; Larval Host (Butterfly),5,,,2–6,4,,
56,,,,,,,"Native Bees; Beetles, Wasps, Flies; Moths; Butterflies",5,,,90,4,,
57,,,,,,,Native Bees; Bombus; Larval Host (Moth); Hummingbirds,4,,,5–10,4,,
58,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",4,,,75,4,,
59,,,,,,,Native Bees; Bombus; Butterflies; Larval Host (Butterfly); Larval Host (Moth),4,,,0.1,4,,
60,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",4,,,2.3,4,,
61,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth); Hummingbirds",4,,,1–2.5,4,,
62,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Hummingbirds",4,,,0.7,4,,
63,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",4,,,2–3.5,4,,
64,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth)",4,,,2.8,3,,
65,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies",4,,,2.5–3,3,,
66,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",4,,,6–20,3,,
67,,,,,,,Native Bees; Bombus; Butterflies; Hummingbirds,4,,,1.7,3,,
68,,,,,,,Moths,4,,,0.3,3,,
69,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",4,,,6–8,3,,
70,,,,,,,Native Bees; Larval Host (Butterfly); Larval Host (Moth),4,,,0.4–0.7,3,,
71,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Monarch); Larval Host (Butterfly)",4,,,4–7,3,,
72,,,,,,,Native Bees; Butterflies; Hummingbirds,4,,,1.2,3,,
73,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",4,,,3–7,3,,
74,,,,,,,Nesting and Structure (Bees); Larval Host (Moth); Wind,4,,,12–20,3,,
75,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",4,,,12,3,,
76,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",4,,,1–5,3,,
77,,,,,,,Honey Bees; Larval Host (Butterfly); Larval Host (Moth); Wind,3,,,50–100,3,,
78,,,,,,,Bombus; Butterflies,3,,,0.2,3,,
