,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Acacia farnesiana,9 to 11,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,"Full Sun, Partial Sun","Spring (Early,Mid)-Winter",15' to 20' (4.5m to 6m),15' to 20' (4.5m to 6m),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, California, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, Southwest, Arizona, New Mexico, Texas","Deer, Drought, Dry Soil, Salt",Hedges and Screens,Mediterranean Garden,,,,
Acer floridanum,6 to 9,,Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",20' to 60' (6m to 18m),25' to 40' (7.5m to 12m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Drought,,"Informal and Cottage, Prairie and Meadow",,Birds,,
Acer negundo,2 to 10,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",30' to 50' (9m to 15m),30' to 50' (9m to 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Clay Soil, Drought",Patio and Containers,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,,3 to 8
Acer rubrum,3 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, A2, A3",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-Fall",40' to 70' (12m to 21m),30' to 50' (9m to 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,,1 to 9
Acer saccharum,3 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",40' to 80' (12m to 24m),30' to 60' (9m to 18m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,"Informal and Cottage, Prairie and Meadow",,Birds,,1 to 8
Achillea millefolium,3 to 9,,,,,"Summer (Early,Mid,Late)-",1' - 2'  (30cm - 60cm),1' - 2' (30cm - 60cm),,,,,,,,,,,,,,
Adiantum capillus veneris,8 to 11,"5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Ferns,Adiantum - Maidenhair Ferns,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 2' (30cm to 60cm),1' to 2' (30cm to 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen","United States, California, Midwest, Missouri, Ohio, South Dakota, Northeast, Maryland, Rocky Mountains, Colorado, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Deer,"Beds and Borders, Ground Covers, Patio and Containers, Rain Gardens","Gravel and Rock Garden, Prairie and Meadow, Traditional Garden",,,"18"" (45cm)",8 to 11
Adiantum pedatum,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 14, 15, 16, 17, A3",Ferns,Adiantum - Maidenhair Ferns,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),1'  to 2' (30cm to 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,"Beds and Borders, Edging, Patio and Containers, Rain Gardens","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow, Traditional Garden",,,"24"" (60cm)",1 to 8
Aesculus flava,3 to 8,,Trees,Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",50' to 70' (15m to 21m),30' to 50' (9m to 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Ohio, Northeast, Maryland, New Jersey, Pennsylvania, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,,Prairie and Meadow,,,,1 to 8
Aesculus glabra,3 to 7,,Trees,Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",20' to 40' (6m to 12m),20' to 40' (6m to 12m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, Tennessee, West Virginia, Southwest, Oklahoma, Texas",,,Prairie and Meadow,,Hummingbirds,,1 to 7
