,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"acacia farnesiana
",9 – 11 What's My Zone?,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Acacia,"Full Sun, Partial Sun","Spring (Early,Mid)Winter",15' – 20' (4.5m – 6m),15' – 20' (4.5m – 6m),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy","United States, California, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, Southwest, Arizona, New Mexico, Texas","Deer, Drought, Dry Soil, Salt",Hedges and Screens,Mediterranean Garden,,,,
"acer floridanum
",6 – 9 What's My Zone?,,Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",20' – 60' (6m – 18m),25' – 40' (7.5m – 12m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Drought,,"Informal and Cottage, Prairie and Meadow",,Birds,,
"acer negundo
",2 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",30' – 50' (9m – 15m),30' – 50' (9m – 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Clay Soil, Drought",Patio and Containers,"City and Courtyard, Informal and Cottage, Prairie and Meadow",,Birds,,3 – 8 What's My Zone?
"acer rubrum
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, A2, A3",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall",40' – 70' (12m – 21m),30' – 50' (9m – 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Wet Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,,1 – 9 What's My Zone?
"acer saccharum
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20",Trees,Acer - Maples,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",40' – 80' (12m – 24m),30' – 60' (9m – 18m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,"Informal and Cottage, Prairie and Meadow",,Birds,,1 – 8 What's My Zone?
"achillea millefolium
",3 - 9,,,,,"Summer (Early,Mid,Late)",1' - 2'  (30cm - 60cm),1' - 2' (30cm - 60cm),,,,,,,,,,,,,,
"adiantum capillus veneris
",8 – 11 What's My Zone?,"5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Ferns,Adiantum - Maidenhair Ferns,"Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen","United States, California, Midwest, Missouri, Ohio, South Dakota, Northeast, Maryland, Rocky Mountains, Colorado, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Deer,"Beds and Borders, Ground Covers, Patio and Containers, Rain Gardens","Gravel and Rock Garden, Prairie and Meadow, Traditional Garden",,,"18"" (45cm)",8 – 11 What's My Zone?
"adiantum pedatum
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 14, 15, 16, 17, A3",Ferns,Adiantum - Maidenhair Ferns,"Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),1'  – 2' (30cm – 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,"Beds and Borders, Edging, Patio and Containers, Rain Gardens","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow, Traditional Garden",,,"24"" (60cm)",1 – 8 What's My Zone?
"aesculus flava
",3 – 8 What's My Zone?,,Trees,Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",50' – 70' (15m – 21m),30' – 50' (9m – 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Ohio, Northeast, Maryland, New Jersey, Pennsylvania, Southeast, Alabama, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,,Prairie and Meadow,,,,1 – 8 What's My Zone?
"aesculus glabra
",3 – 7 What's My Zone?,,Trees,Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",20' – 40' (6m – 12m),20' – 40' (6m – 12m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, Tennessee, West Virginia, Southwest, Oklahoma, Texas",,,Prairie and Meadow,,Hummingbirds,,1 – 7 What's My Zone?
"aesculus pavia
",5 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Shrubs, Trees",Aesculus,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)",12' – 15' (3.6m – 4.5m),12' – 15' (3.6m – 4.5m),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil","Hedges and Screens, Small Gardens",Prairie and Meadow,,Hummingbirds,,5 – 9 What's My Zone?
"agastache nepetoides
",2 – 8 What's My Zone?,,Perennials,Agastache - Hyssops,Full Sun,"Summer (Mid,Late)Fall",4' – 6' (120cm – 180cm),1' – 3' (30cm – 90cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" – 36"" (60cm – 90cm)",
