,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Acer negundo, boxelder , Tree, Sapindaceae, Central and North America, 2 to 10, 30.00 to 50.00 feet, 30.00 to 50.00 feet, March to April, Greenish-yellow, Full sun, Medium to wet, Low, Shade Tree, Insignificant," Drought, Clay Soil, Black Walnut, Air Pollution", Where is this species invasive in the US?,,,,
Acer rubrum, red maple , Tree, Sapindaceae, Eastern and central North America, 3 to 9, 40.00 to 70.00 feet, 30.00 to 50.00 feet, March to April," Red, sometimes yellow", Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Showy," Wet Soil, Black Walnut, Air Pollution",, Good Fall,,,
Acer saccharinum, silver maple , Tree, Sapindaceae, Eastern North America, 3 to 9, 50.00 to 80.00 feet, 35.00 to 70.00 feet, March, Greenish-yellow, Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Drought, Wet Soil, Black Walnut, Air Pollution",,,,,
Acer saccharum, sugar maple , Tree, Sapindaceae, Eastern North America, 3 to 8, 40.00 to 80.00 feet, 30.00 to 60.00 feet, April, Greenish, Full sun to part shade, Medium, Medium, Shade Tree, Insignificant, Heavy Shade,, Good Fall,,,
Achillea millefolium, yarrow , Herbaceous perennial, Asteraceae," Europe, western Asia, North America", 3 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, June to September, White, Full sun, Dry to medium, Medium, Naturalize, Showy," Deer, Drought, Dry Soil, Air Pollution",, Fragrant, Butterflies,,
Actaea pachypoda, white baneberry , Herbaceous perennial, Ranunculaceae, Eastern North America, 3 to 8, 1.50 to 2.50 feet, 2.00 to 3.00 feet, May to June, White, Part shade to full shade, Medium, Low, Naturalize," Showy, Fragrant",,,,, Showy,
Actaea racemosa, black cohosh , Herbaceous perennial, Ranunculaceae, North America, 3 to 8, 4.00 to 6.00 feet, 2.00 to 4.00 feet, June to July, White, Part shade to full shade, Medium, Low, Naturalize," Showy, Fragrant", Rabbit,,,,,
Adiantum capillus-veneris, maidenhair fern , Fern, Pteridaceae, Temperate and tropical regions worldwide, 5 to 8, 0.75 to 1.50 feet, 0.75 to 1.50 feet, Non-flowering,, Part shade to full shade, Medium, Low, Naturalize,, Heavy Shade,,,,,
Adiantum pedatum, Northern maidenhair fern , Fern, Pteridaceae," North America, Asia", 3 to 8, 1.00 to 2.50 feet, 1.00 to 1.50 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low, Naturalize,, Heavy Shade,,,,,
Aesculus flava, yellow buckeye , Tree, Sapindaceae, North America, 4 to 8, 50.00 to 75.00 feet, 30.00 to 50.00 feet, April to May, Yellow, Full sun to part shade, Medium, Medium," Shade Tree, Flowering Tree", Showy, Black Walnut,, Good Fall,, Showy,
