,0
0,Genus
1,Count
2,Species
3,Count
4,Family
5,Count
6,Life Cycle
7,Count
8,Recommended Propagation Strategy
9,Count
10,Country Or Region Of Origin
11,Count
12,Distribution
13,Count
14,Wildlife Value
15,Count
16,Plant Type
17,Count
18,Habit/Form
19,Count
20,Growth Rate
21,Count
22,Maintenance
23,Count
24,Light
25,Count
26,Soil Texture
27,Count
28,Soil Drainage
29,Count
30,NC Region
31,Count
32,Display/Harvest Time
33,Count
34,Fruit Type
35,Count
36,Fruit Description
37,Count
38,Flower Inflorescence
39,Count
40,Flower Bloom Time
41,Count
42,Flower Size
43,Count
44,Flower Description
45,Count
46,Leaf Color
47,Count
48,Deciduous Leaf Fall Color
49,Count
50,Leaf Type
51,Count
52,Leaf Arrangement
53,Count
54,Leaf Shape
55,Count
56,Leaf Margin
57,Count
58,Hairs Present
59,Count
60,Leaf Length
61,Count
62,Leaf Width
63,Count
64,Leaf Description
65,Count
66,Stem Color
67,Count
68,Stem Is Aromatic
69,Count
70,Stem Surface
71,Count
72,Stem Description
73,Count
74,Landscape Location
75,Count
76,Problems
77,Count
78,Texture
79,Count
80,USDA Plant Hardiness Zone
81,Count
82,Flower Color
83,Count
84,Flower Petals
85,Count
86,Leaf Feel
87,Count
88,Bark Color
89,Count
90,Stem Form
91,Count
92,Attracts
93,Count
94,Resistance To Challenges
95,Count
96,Causes Contact Dermatitis
97,Count
98,Uses (Ethnobotany)
99,Count
100,Fire Risk Rating
101,Count
102,Play Value
103,Count
104,Particularly Resistant To (Insects/Diseases/Other Problems)
105,Count
106,Dimensions
107,Count
108,Woody Plant Leaf Characteristics
109,Count
110,Soil pH
111,Count
112,Available Space To Plant
113,Count
114,Fruit Value To Gardener
115,Count
116,Fruit Length
117,Count
118,Fruit Width
119,Count
120,Surface/Attachment
121,Count
122,Bark Plate Shape
123,Count
124,Bark Description
125,Count
126,Landscape Theme
127,Count
128,Design Feature
129,Count
130,Fruit Color
131,Count
132,Stem Buds
133,Count
134,Stem Bud Terminal
135,Count
136,Stem Cross Section
137,Count
138,Stem Leaf Scar Shape
139,Count
140,Stem Lenticels
141,Count
142,Edibility
143,Count
144,Flower Value To Gardener
145,Count
146,Leaf Value To Gardener
147,Count
148,Stem Bud Scales
149,Count
150,Flower Shape
151,Count
