,0
0,Active Growth Period
1,Count
2,After Harvest Regrowth Rate
3,Count
4,Bloat
5,Count
6,C:N Ratio
7,Count
8,Coppice Potential
9,Count
10,Fall Conspicuous
11,Count
12,Fire Resistant
13,Count
14,Flower Color
15,Count
16,Flower Conspicuous
17,Count
18,Foliage Color
19,Count
20,Foliage Porosity Summer
21,Count
22,Foliage Porosity Winter
23,Count
24,Foliage Texture
25,Count
26,Fruit/Seed Color
27,Count
28,Fruit/Seed Conspicuous
29,Count
30,Growth Form
31,Count
32,Growth Rate
33,Count
34,"Height, Mature (feet)"
35,Count
36,Known Allelopath
37,Count
38,Leaf Retention
39,Count
40,Low Growing Grass
41,Count
42,Nitrogen Fixation
43,Count
44,Resprout Ability
45,Count
46,Shape and Orientation
47,Count
48,Toxicity
49,Count
50,Adapted to Coarse Textured Soils
51,Count
52,Adapted to Fine Textured Soils
53,Count
54,Adapted to Medium Textured Soils
55,Count
56,Anaerobic Tolerance
57,Count
58,CaCO3 Tolerance
59,Count
60,Cold Stratification Required
61,Count
62,Drought Tolerance
63,Count
64,Fertility Requirement
65,Count
66,Fire Tolerance
67,Count
68,"Frost Free Days, Minimum"
69,Count
70,Hedge Tolerance
71,Count
72,Moisture Use
73,Count
74,"pH, Maximum"
75,Count
76,"pH, Minimum"
77,Count
78,"Planting Density per Acre, Maximum"
79,Count
80,"Planting Density per Acre, Minimum"
81,Count
82,"Precipitation, Maximum"
83,Count
84,"Precipitation, Minimum"
85,Count
86,"Root Depth, Minimum (inches)"
87,Count
88,Salinity Tolerance
89,Count
90,Shade Tolerance
91,Count
92,"Temperature, Minimum (°F)"
93,Count
94,Bloom Period
95,Count
96,Commercial Availability
97,Count
98,Fruit/Seed Abundance
99,Count
100,Fruit/Seed Period Begin
101,Count
102,Fruit/Seed Period End
103,Count
104,Fruit/Seed Persistence
105,Count
106,Propagated by Bare Root
107,Count
108,Propagated by Bulb
109,Count
110,Propagated by Container
111,Count
112,Propagated by Corm
113,Count
114,Propagated by Cuttings
115,Count
116,Propagated by Seed
117,Count
118,Propagated by Sod
119,Count
120,Propagated by Sprigs
121,Count
122,Propagated by Tubers
123,Count
124,Seed per Pound
125,Count
126,Seed Spread Rate
127,Count
128,Seedling Vigor
129,Count
130,Small Grain
131,Count
132,Vegetative Spread Rate
133,Count
134,Berry/Nut/Seed Product
135,Count
136,Christmas Tree Product
137,Count
138,Fodder Product
139,Count
140,Lumber Product
141,Count
142,Naval Store Product
143,Count
144,Nursery Stock Product
145,Count
146,Palatable Browse Animal
147,Count
148,Palatable Graze Animal
149,Count
150,Palatable Human
151,Count
152,Post Product
153,Count
154,Protein Potential
155,Count
156,Pulpwood Product
157,Count
158,Veneer Product
159,Count
160,"Height at 20 Years, Maximum (feet)"
161,Count
162,Lifespan
163,Count
164,Fuelwood Product
165,Count
