Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir
ABBA,,Abies balsamea (L.) Mill.,balsam fir
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir
ABGR4,,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir
ABMA,,Abies magnifica A. Murray bis,California red fir
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,
ABPR,,Abies procera Rehder,noble fir
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag
ACCA4,,Acorus calamus L.,calamus
ACCI,,Acer circinatum Pursh,vine maple
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood
ACCY2,,Acacia cyclops A. Cunn. ex G. Don,coastal wattle
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple
ACFL,ACBA3,Acer barbatum Michx. p.p.,
ACGI,,Acer ginnala Maxim.,Amur maple
ACGL,,Acer glabrum Torr.,Rocky Mountain maple
ACGLD4,,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass
ACKO,,Acacia koa A. Gray,koa
ACKO2,,Acacia koaia Hillebr.,koaoha
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass
ACLO,,Acacia longifolia (Andrews) Willd.,Sydney golden wattle
ACMA3,,Acer macrophyllum Pursh,bigleaf maple
ACME,,Acacia melanoxylon R. Br.,blackwood
ACMI2,,Achillea millefolium L.,common yarrow
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow
ACNE2,,Acer negundo L.,boxelder
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass
ACNI5,,Acer nigrum Michx. f.,black maple
ACOCO,,Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale,western needlegrass
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower
ACPE,,Acer pensylvanicum L.,striped maple
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
ACRU,,Acer rubrum L.,red maple
ACSA2,,Acer saccharinum L.,silver maple
ACSA3,,Acer saccharum Marshall,sugar maple
ACSP12,,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass
ACSP2,,Acer spicatum Lam.,mountain maple
ACTH7,,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass
ACVI,,Acalypha virginica L.,Virginia threeseed mercury
ADCA,,Adiantum capillus-veneris L.,common maidenhair
ADFA,,Adenostoma fasciculatum Hook. & Arn.,chamise
ADPE,,Adiantum pedatum L.,northern maidenhair
AECA,,Aesculus californica (Spach) Nutt.,California buckeye
AEFL,,Aesculus flava Aiton,yellow buckeye
AEGL,,Aesculus glabra Willd.,Ohio buckeye
AEPA,,Aesculus pavia L.,red buckeye
AESY,,Aesculus sylvatica W. Bartram,painted buckeye
AGAM,,Agave americana L.,American century plant
AGAU2,,Agoseris aurantiaca (Hook.) Greene,orange agoseris
AGCA4,,Agrostis canina L.,velvet bentgrass
AGCA5,,Agrostis capillaris L.,colonial bentgrass
AGCR,,Agropyron cristatum (L.) Gaertn.,crested wheatgrass
AGDE2,,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass
AGEX,,Agrostis exarata Trin.,spike bentgrass
AGFR,,Agropyron fragile (Roth) P. Candargy,Siberian wheatgrass
AGGI2,,Agrostis gigantea Roth,redtop
AGGL,,Agoseris glauca (Pursh) Raf.,pale agoseris
AGGR,,Agoseris grandiflora (Nutt.) Greene,bigflower agoseris
AGGR2,,Agrimonia gryposepala Wallr.,tall hairy agrimony
AGHY,,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
AGID,,Agrostis idahoensis Nash,Idaho bentgrass
AGPA2,,Agastache parvifolia Eastw.,smallleaf giant hyssop
AGPA6,,Agrimonia parviflora Aiton,harvestlice
AGPA8,,Agrostis pallens Trin.,seashore bentgrass
AGPE,,Agrostis perennans (Walter) Tuck.,upland bentgrass
AGRO3,,Agrimonia rostellata Wallr.,beaked agrimony
AGSC5,,Agrostis scabra Willd.,rough bentgrass
AGST,,Agrimonia striata Michx.,roadside agrimony
AGST2,,Agrostis stolonifera L.,creeping bentgrass
AGUR,,Agastache urticifolia (Benth.) Kuntze,nettleleaf giant hyssop
