Scientific Name,Root,URL,USDA Symbol
Achillea millefolium,ErnstSeed.com,https://www.ernstseed.com/product/common-yarrow/,ACMI2
Agrimonia parviflora,ErnstSeed.com,https://www.ernstseed.com/product/small-flowered-agrimony-pa-ecotype/?anchor=2,AGPA6
Agrostis hyemalis,ErnstSeed.com,https://www.ernstseed.com/product/winter-bentgrass-piedmont-nc-ecotype/?anchor=7,AGHY
Agrostis perennans,ErnstSeed.com,https://www.ernstseed.com/product/autumn-bentgrass-albany-pine-bush-ny-ecotype/?anchor=8,AGPE
Alisma subcordatum,ErnstSeed.com,https://www.ernstseed.com/product/mud-plantain/?anchor=11,ALSU
Allium cernuum,ErnstSeed.com,https://www.ernstseed.com/product/nodding-onion-oh-ecotype/?anchor=13,ALCE2
Amorpha fruticosa,ErnstSeed.com,https://www.ernstseed.com/product/river-locust-false-indigo/?anchor=19,AMFR
Amorpha herbacea,ErnstSeed.com,https://www.ernstseed.com/product/clusterspike-false-indigo-nc-ecotype/?anchor=20,AMHE
Amsonia ciliata,ErnstSeed.com,https://www.ernstseed.com/product/fringed-bluestar-sc-ecotype/?anchor=21,AMCI
Andropogon gerardii,ErnstSeed.com,https://www.ernstseed.com/product/big-bluestem-niagara/?anchor=22,ANGE
Andropogon ternarius,ErnstSeed.com,https://www.ernstseed.com/product/splitbeard-bluestem-fl-ecotype/?anchor=30,ANTE2
Andropogon virginicus,ErnstSeed.com,https://www.ernstseed.com/product/broomsedge-mo-ecotype/?anchor=32,ANVI2
Apocynum cannabinum,ErnstSeed.com,https://www.ernstseed.com/product/indianhemp-pa-ecotype/?anchor=36,APCA
Aquilegia canadensis,ErnstSeed.com,https://www.ernstseed.com/product/eastern-columbine/?anchor=37,AQCA
Aronia melanocarpa,ErnstSeed.com,https://www.ernstseed.com/product/black-chokeberry-oh-ecotype/?anchor=38,ARME6
Asclepias incarnata,ErnstSeed.com,https://www.ernstseed.com/product/swamp-milkweed-ia-ecotype/?anchor=40,ASIN
Asclepias syriaca,ErnstSeed.com,https://www.ernstseed.com/product/common-milkweed/?anchor=44,ASSY
Asclepias tuberosa,ErnstSeed.com,https://www.ernstseed.com/product/butterfly-milkweed/?anchor=46,ASTU
Astragalus canadensis,ErnstSeed.com,https://www.ernstseed.com/product/canadian-milkvetch/?anchor=65,ASCA11
Baptisia alba,ErnstSeed.com,https://www.ernstseed.com/product/white-wild-indigo/?anchor=68,BAAL
Baptisia australis,ErnstSeed.com,https://www.ernstseed.com/product/blue-false-indigo/?anchor=72,BAAU
Bidens aristosa,ErnstSeed.com,https://www.ernstseed.com/product/showy-tickseed-sunflower-bur-marigold-coastal-plain-nc-ecotype/?anchor=80,BIAR
Bidens cernua,ErnstSeed.com,https://www.ernstseed.com/product/nodding-bur-marigold-pa-ecotype/?anchor=81,BICE
Bidens frondosa,ErnstSeed.com,https://www.ernstseed.com/product/beggartick-pa-ecotype/?anchor=82,BIFR
Bouteloua curtipendula,ErnstSeed.com,https://www.ernstseed.com/product/sideoats-grama-butte/?anchor=83,BOCU
Carex albolutescens,ErnstSeed.com,https://www.ernstseed.com/product/greenwhite-sedge-coastal-plain-nc-ecotype/?anchor=103,CAAL5
Carex comosa,ErnstSeed.com,https://www.ernstseed.com/product/cosmos-bristly-sedge-pa-ecotype/?anchor=104,CACO8
Carex crinita,ErnstSeed.com,https://www.ernstseed.com/product/fringed-nodding-sedge-pa-ecotype/?anchor=105,CACR6
Carex frankii,ErnstSeed.com,https://www.ernstseed.com/product/franks-sedge-pa-ecotype/?anchor=106,CAFR3
Carex grayi,ErnstSeed.com,https://www.ernstseed.com/product/grays-sedge-pa-ecotype/?anchor=108,CAGR5
Carex gynandra,ErnstSeed.com,https://www.ernstseed.com/product/nodding-sedge-pa-ecotype/?anchor=109,CAGY4
Carex intumescens,ErnstSeed.com,https://www.ernstseed.com/product/bladder-star-sedge-pa-ecotype/?anchor=110,CAIN12
Carex lupulina,ErnstSeed.com,https://www.ernstseed.com/product/hop-sedge-md-ecotype/?anchor=111,CALU4
Carex lurida,ErnstSeed.com,https://www.ernstseed.com/product/lurid-shallow-sedge-pa-ecotype/?anchor=113,CALU5
Carex scoparia,ErnstSeed.com,https://www.ernstseed.com/product/blunt-broom-sedge-pa-ecotype/?anchor=114,CASC11
Carex stipata,ErnstSeed.com,https://www.ernstseed.com/product/awl-sedge-pa-ecotype/?anchor=116,CAST5
Carex stricta,ErnstSeed.com,https://www.ernstseed.com/product/tussock-sedge-pa-ecotype/?anchor=117,CAST8
Carex vulpinoidea,ErnstSeed.com,https://www.ernstseed.com/product/fox-sedge-pa-ecotype/?anchor=118,CAVU2
Carya ovata,ErnstSeed.com,https://www.ernstseed.com/product/shagbark-hickory/?anchor=119,CAOV2
Cephalanthus occidentalis,ErnstSeed.com,https://www.ernstseed.com/product/buttonbush/?anchor=122,CEOC2
Cercis canadensis,ErnstSeed.com,https://www.ernstseed.com/product/eastern-redbud/?anchor=123,CECA4
Chamaecrista fasciculata,ErnstSeed.com,https://www.ernstseed.com/product/partridge-pea-fl-ecotype/?anchor=124,CHFA2
Chamaecrista nictitans,ErnstSeed.com,https://www.ernstseed.com/product/sensitive-pea-nc-ecotype/?anchor=126,CHNI2
Chasmanthium latifolium,ErnstSeed.com,https://www.ernstseed.com/product/river-oats/?anchor=127,CHLA5
Chasmanthium laxum,ErnstSeed.com,https://www.ernstseed.com/product/slender-woodoats-nc-ecotype/?anchor=129,CHLA6
Chelone glabra,ErnstSeed.com,https://www.ernstseed.com/product/turtlehead-pa-ecotype/?anchor=131,CHGL2
Cinna arundinacea,ErnstSeed.com,https://www.ernstseed.com/product/wood-reedgrass-pa-ecotype/?anchor=137,CIAR2
Clematis virginiana,ErnstSeed.com,https://www.ernstseed.com/product/virgins-bower-pa-ecotype/?anchor=139,CLVI5
Coreopsis basalis,ErnstSeed.com,https://www.ernstseed.com/product/goldenmane-tickseed-fl-ecotype/?anchor=140,COBA2
Coreopsis grandiflora,ErnstSeed.com,https://www.ernstseed.com/product/largeflower-tickseed-piedmont-ga-ecotype/?anchor=141,COGR5
Coreopsis lanceolata,ErnstSeed.com,https://www.ernstseed.com/product/lanceleaf-coreopsis/?anchor=142,COLA5
Coreopsis tinctoria,ErnstSeed.com,https://www.ernstseed.com/product/plains-coreopsis/?anchor=144,COTI3
Coreopsis tripteris,ErnstSeed.com,https://www.ernstseed.com/product/tall-coreopsis-pa-ecotype/?anchor=145,COTR4
Cornus alternifolia,ErnstSeed.com,https://www.ernstseed.com/product/pagoda-dogwood-pa-ecotype/?anchor=146,COAL2
Cornus amomum,ErnstSeed.com,https://www.ernstseed.com/product/silky-dogwood-ia-ecotype/?anchor=147,COAM2
Cornus florida,ErnstSeed.com,https://www.ernstseed.com/product/flowering-dogwood-pa-ecotype/?anchor=149,COFL2
Corylus americana,ErnstSeed.com,https://www.ernstseed.com/product/hazelnutamerican-filbert/?anchor=156,COAM3
Dalea candida,ErnstSeed.com,https://www.ernstseed.com/product/white-prairie-clover/?anchor=164,DACA7
Dalea purpurea,ErnstSeed.com,https://www.ernstseed.com/product/purple-prairie-clover/?anchor=165,DAPU5
Desmanthus illinoensis,ErnstSeed.com,https://www.ernstseed.com/product/illinois-bundleflower/?anchor=169,DEIL
Desmodium paniculatum,ErnstSeed.com,https://www.ernstseed.com/product/panicledleaf-ticktrefoil-pa-ecotype/?anchor=171,DEPA6
Dulichium arundinaceum,ErnstSeed.com,https://www.ernstseed.com/product/threeway-sedge-pa-ecotype/?anchor=173,DUAR3
Echinacea pallida,ErnstSeed.com,https://www.ernstseed.com/product/pale-purple-coneflower/?anchor=174,ECPA
Echinacea purpurea,ErnstSeed.com,https://www.ernstseed.com/product/purple-coneflower/?anchor=175,ECPU
Echinochloa muricata,ErnstSeed.com,https://www.ernstseed.com/product/barnyardgrass/?anchor=178,ECMU2
Eleocharis obtusa,ErnstSeed.com,https://www.ernstseed.com/product/blunt-spikerush/?anchor=179,ELOB2
Eleocharis palustris,ErnstSeed.com,https://www.ernstseed.com/product/creeping-spikerush/?anchor=180,ELPA3
Elymus glabriflorus,ErnstSeed.com,https://www.ernstseed.com/product/southeastern-wildrye/?anchor=182,ELGL3
Elymus hystrix,ErnstSeed.com,https://www.ernstseed.com/product/bottlebrush-grass-mn-ecotype/?anchor=183,ELHY
