,0
0,Achillea millefolium
1,"Acorus americanus, Midwestern U.S. Ecotype"
2,Agastache foeniculum
3,"Agrimonia parviflora, PA Ecotype"
4,"Agropyron cristatum, 'Hycrest'"
5,Agropyron intermedium
6,Agropyron trachycaulum
7,Agrostis alba
8,"Agrostis hyemalis, Piedmont NC Ecotype"
9,"Agrostis perennans, Albany Pine Bush-NY Ecotype"
10,"Agrostis stolonifera, 'Penncross'"
11,"Agrostis tenuis, Highland"
12,Alisma subcordatum
13,"Alisma subcordatum, PA Ecotype"
14,"Allium cernuum, OH Ecotype"
15,"Allium cernuum, PA Ecotype"
16,Alopecurus arundinaceus
17,Ambrosia artemisiifolia
18,Ammi majus
19,Amorpha canescens
20,Amorpha fruticosa
21,"Amorpha herbacea, NC Ecotype"
22,"Amsonia ciliata, SC Ecotype"
23,"Andropogon gerardii, 'Niagara'"
24,"Andropogon gerardii, 'Pawnee'"
25,"Andropogon gerardii, 'Prairie View'-IN Ecotype"
26,"Andropogon gerardii, 'Southlow'-MI Ecotype"
27,"Andropogon gerardii, Albany Pine Bush-NY Ecotype"
28,"Andropogon gerardii, IL Ecotype"
29,"Andropogon gerardii, Long Island-NY Ecotype"
30,"Andropogon glomeratus var. glaucopsis, FL Ecotype"
31,"Andropogon ternarius, FL Ecotype"
32,"Andropogon ternarius, MO Ecotype"
33,"Andropogon virginicus, MO Ecotype"
34,"Anemone canadensis, PA Ecotype"
35,"Anemone virginiana, PA Ecotype"
36,"Anthoxanthum odoratum, PA Ecotype"
37,"Apocynum cannabinum, PA Ecotype"
38,Aquilegia canadensis
39,"Aronia melanocarpa, OH Ecotype"
40,Arrhenatherum elatius ssp. elatius
41,Asclepias incarnata
42,"Asclepias incarnata, NJ Ecotype"
43,"Asclepias incarnata, PA Ecotype"
44,Asclepias speciosa
45,Asclepias syriaca
46,"Asclepias syriaca, PA Ecotype"
47,Asclepias tuberosa
48,"Asclepias tuberosa, PA Ecotype"
49,"Aster divaricatus, PA Ecotype"
50,Aster laevis
51,"Aster laevis, MN Ecotype"
52,"Aster laevis, NY Ecotype"
53,Aster lanceolatus
54,Aster lateriflorus
55,"Aster macrophyllus, PA Ecotype"
56,Aster novae-angliae
57,"Aster novae-angliae, PA Ecotype"
58,"Aster novi-belgii, Albany Pine Bush-NY Ecotype"
59,"Aster oblongifolius, PA Ecotype"
60,"Aster pilosus, PA Ecotype"
61,"Aster prenanthoides, PA Ecotype"
62,"Aster puniceus, PA Ecotype"
63,"Aster sagittifolius, PA Ecotype"
64,"Aster spectabilis, NC Ecotype"
65,"Aster umbellatus, PA Ecotype"
66,Astragalus canadensis
67,"Avena sativa, Ogle"
68,"Avena sativa, Variety Not Stated"
69,Baptisia alba
70,"Baptisia alba, OH Ecotype"
71,"Baptisia albescens, NC Ecotype"
72,"Baptisia albescens, SC Ecotype"
73,Baptisia australis
74,"Baptisia australis, PA Ecotype"
75,"Baptisia australis, Southern WV Ecotype"
76,"Baptisia pendula, FL Ecotype"
77,Baptisia tinctoria
78,"Baptisia tinctoria, Coastal Plain SC Ecotype"
79,"Baptisia tinctoria, PA Ecotype"
80,Beta vulgaris
81,"Bidens aristosa, Coastal Plain NC Ecotype"
82,"Bidens cernua, PA Ecotype"
83,"Bidens frondosa, PA Ecotype"
84,"Bouteloua curtipendula, Butte"
85,"Bouteloua gracilis, Bad River"
86,Brassica napus
87,"Brassica napus, Bonar"
88,"Brassica napus, Rangiora"
89,"Brassica napus, Wichita"
90,"Brassica napus, Winfred"
91,Brassica rapa
92,"Brassica rapa, 'Pacer'"
93,"Brassica rapa, Appin"
94,"Brassica rapa, Pasja"
95,"Brassica rapa, Vivant"
96,"Brassica spp., Rangi"
97,Bromus altissimus
98,"Bromus biebersteinii, 'Fleet'"
99,"Bromus inermis, Variety Not Stated"
100,Calamagrostis canadensis
101,Calendula officinalis
102,"Camelina sativa, Blaine Creek"
103,"Camelina sativa, Suneson"
