Scientific Name,Root,URL,USDA Symbol
Achillea millefolium,IzelPlants.com,https://www.izelplants.com/achillea-millefolium-common-yarrow/,ACMI2
Adiantum pedatum,IzelPlants.com,https://www.izelplants.com/adiantum-pedatum-northern-maidenhair/,ADPE
Allium cernuum,IzelPlants.com,https://www.izelplants.com/allium-cernuum-nodding-onion/,ALCE2
Andropogon glomeratus,IzelPlants.com,https://www.izelplants.com/andropogon-glomeratus/,ANGL2
Andropogon virginicus,IzelPlants.com,https://www.izelplants.com/andropogon-virginicus-broomsedge-bluestem/,ANVI2
Aruncus dioicus,IzelPlants.com,https://www.izelplants.com/aruncus-dioicus-bride-s-feathers/,ARDI8
Asclepias incarnata,IzelPlants.com,https://www.izelplants.com/asclepias-incarnata-swamp-milkweed/,ASIN
Asclepias syriaca,IzelPlants.com,https://www.izelplants.com/asclepias-syriaca-common-milkweed/,ASSY
Asclepias tuberosa,IzelPlants.com,https://www.izelplants.com/asclepias-tuberosa-butterfly-milkweed/,ASTU
Asclepias verticillata,IzelPlants.com,https://www.izelplants.com/asclepias-verticillata-whorled-milkweed/,ASVE
Asimina triloba,IzelPlants.com,https://www.izelplants.com/asimina-triloba-pawpaw/,ASTR
Blephilia hirsuta,IzelPlants.com,https://www.izelplants.com/blephilia-hirsuta-hairy-pagoda-plant/,BLHI
Bolboschoenus fluviatilis,IzelPlants.com,https://www.izelplants.com/bolboschoenus-fluviatilis-river-bulrush/,BOFL3
Boltonia asteroides,IzelPlants.com,https://www.izelplants.com/boltonia-asteroides-white-doll-s-daisy/,BOAS
Bouteloua curtipendula,IzelPlants.com,https://www.izelplants.com/bouteloua-curtipendula-sideoats-grama/,BOCU
Bromus pubescens,IzelPlants.com,https://www.izelplants.com/bromus-pubescens-hairy-woodland-brome/,BRPU6
Camassia scilloides,IzelPlants.com,https://www.izelplants.com/camassia-scilloides-atlantic-camas/,CASC5
Carex amphibola,IzelPlants.com,https://www.izelplants.com/carex-amphibola/,CAAM8
Carex annectens,IzelPlants.com,https://www.izelplants.com/carex-annectens-yellowfruit-sedge/,CAAN6
Carex comosa,IzelPlants.com,https://www.izelplants.com/carex-comosa-longhair-sedge/,CACO8
Carex crinita,IzelPlants.com,https://www.izelplants.com/carex-crinita-fringed-sedge/,CACR6
Carex eburnea,IzelPlants.com,https://www.izelplants.com/carex-eburnea-bristleleaf-sedge/,CAEB2
Carex flaccosperma,IzelPlants.com,https://www.izelplants.com/carex-flaccosperma-thinfruit-sedge/,CAFL3
Carex frankii,IzelPlants.com,https://www.izelplants.com/carex-frankii-frank-s-sedge/,CAFR3
Carex grayi,IzelPlants.com,https://www.izelplants.com/carex-grayi-gray-s-sedge/,CAGR5
Carex lupulina,IzelPlants.com,https://www.izelplants.com/carex-lupulina-hop-sedge/,CALU4
Carex lurida,IzelPlants.com,https://www.izelplants.com/carex-lurida-shallow-sedge/,CALU5
Carex molesta,IzelPlants.com,https://www.izelplants.com/carex-molesta-field-oval-sedge/,CAMO11
Carex pensylvanica,IzelPlants.com,https://www.izelplants.com/carex-pensylvanica-pennsylvania-sedge/,CAPE6
Carex radiata,IzelPlants.com,https://www.izelplants.com/carex-radiata-eastern-star-sedge/,CARA8
Carex scoparia,IzelPlants.com,https://www.izelplants.com/carex-scoparia-broom-sedge/,CASC11
Carex stipata,IzelPlants.com,https://www.izelplants.com/carex-stipata-awlfruit-sedge/,CAST5
Carex stricta,IzelPlants.com,https://www.izelplants.com/carex-stricta-tussock-sedge/,CAST8
Carex vulpinoidea,IzelPlants.com,https://www.izelplants.com/carex-vulpinoidea-fox-sedge/,CAVU2
Chasmanthium latifolium,IzelPlants.com,https://www.izelplants.com/chasmanthium-latifolium-indian-woodoats/,CHLA5
Chasmanthium laxum,IzelPlants.com,https://www.izelplants.com/chasmanthium-laxum-slender-woodoats/,CHLA6
Chelone glabra,IzelPlants.com,https://www.izelplants.com/chelone-glabra-white-turtlehead/,CHGL2
Claytonia virginica,IzelPlants.com,https://www.izelplants.com/claytonia-virginica-virginia-springbeauty/,CLVI3
Clematis virginiana,IzelPlants.com,https://www.izelplants.com/clematis-virginiana-devil-s-darning-needles/,CLVI5
Conoclinium coelestinum,IzelPlants.com,https://www.izelplants.com/conoclinium-coelestinum-blue-mistflower/,COCO13
Dalea purpurea,IzelPlants.com,https://www.izelplants.com/dalea-purpurea-purple-prairie-clover/,DAPU5
Delphinium exaltatum,IzelPlants.com,https://www.izelplants.com/delphinium-exaltatum-tall-larkspur/,DEEX
Deschampsia flexuosa,IzelPlants.com,https://www.izelplants.com/deschampsia-flexuosa-wavy-hairgrass/,DEFL
Diarrhena americana,IzelPlants.com,https://www.izelplants.com/diarrhena-americana-american-beakgrain/,DIAM
Dicentra cucullaria,IzelPlants.com,https://www.izelplants.com/dicentra-cucullaria-dutchman-s-breeches/,DICU
Dulichium arundinaceum,IzelPlants.com,https://www.izelplants.com/dulichium-arundinaceum-threeway-sedge/,DUAR3
Echinacea pallida,IzelPlants.com,https://www.izelplants.com/echinacea-pallida-pale-purple-coneflower/,ECPA
Echinacea purpurea,IzelPlants.com,https://www.izelplants.com/echinacea-purpurea-eastern-purple-coneflower/,ECPU
Eleocharis acicularis,IzelPlants.com,https://www.izelplants.com/eleocharis-acicularis-needle-spikerush/,ELAC
Eleocharis obtusa,IzelPlants.com,https://www.izelplants.com/eleocharis-obtusa-blunt-spikerush/,ELOB2
Eleocharis palustris,IzelPlants.com,https://www.izelplants.com/eleocharis-palustris-common-spikerush/,ELPA3
Eleocharis parvula,IzelPlants.com,https://www.izelplants.com/eleocharis-parvula-dwarf-spikerush/,ELPA5
Elymus hystrix,IzelPlants.com,https://www.izelplants.com/elymus-hystrix-eastern-bottlebrush-grass/,ELHY
Elymus virginicus,IzelPlants.com,https://www.izelplants.com/elymus-virginicus-virginia-wildrye/,ELVI3
Eragrostis spectabilis,IzelPlants.com,https://www.izelplants.com/eragrostis-spectabilis-purple-lovegrass/,ERSP
Eryngium aquaticum,IzelPlants.com,https://www.izelplants.com/eryngium-aquaticum-rattlesnakemaster/,ERAQ
Eryngium yuccifolium,IzelPlants.com,https://www.izelplants.com/eryngium-yuccifolium-button-eryngo/,ERYU
Eupatorium perfoliatum,IzelPlants.com,https://www.izelplants.com/eupatorium-perfoliatum-common-boneset/,EUPE3
Eurybia divaricata,IzelPlants.com,https://www.izelplants.com/eurybia-divaricata-white-wood-aster/,EUDI16
Euthamia graminifolia,IzelPlants.com,https://www.izelplants.com/euthamia-graminifolia-flat-top-goldentop/,EUGR5
Eutrochium fistulosum,IzelPlants.com,https://www.izelplants.com/eutrochium-fistulosum-hollow-joe-pye-weed/,EUFI14
Fragaria virginiana,IzelPlants.com,https://www.izelplants.com/fragaria-virginiana-wild-strawberry/,FRVI
Geranium maculatum,IzelPlants.com,https://www.izelplants.com/geranium-maculatum-spotted-geranium/,GEMA
Glyceria striata,IzelPlants.com,https://www.izelplants.com/glyceria-striata-fowl-mannagrass/,GLST
Helenium autumnale,IzelPlants.com,https://www.izelplants.com/helenium-autumnale-common-sneezeweed/,HEAU
Hibiscus moscheutos,IzelPlants.com,https://www.izelplants.com/hibiscus-moscheutos-crimsoneyed-rosemallow/,HIMO
Iris fulva,IzelPlants.com,https://www.izelplants.com/iris-fulva-copper-iris/,IRFU
Juncus dudleyi,IzelPlants.com,https://www.izelplants.com/juncus-dudleyi-dudley-s-rush/,JUDU2
Juncus effusus,IzelPlants.com,https://www.izelplants.com/juncus-effusus-soft-rush/,JUEF
Juncus tenuis,IzelPlants.com,https://www.izelplants.com/juncus-tenuis-poverty-rush/,JUTE
Justicia americana,IzelPlants.com,https://www.izelplants.com/justicia-americana-american-water-willow/,JUAM
Liatris spicata,IzelPlants.com,https://www.izelplants.com/liatris-spicata-dense-blazing-star/,LISP
Lobelia cardinalis,IzelPlants.com,https://www.izelplants.com/lobelia-cardinalis-cardinal-flower/,LOCA2
Lobelia siphilitica,IzelPlants.com,https://www.izelplants.com/lobelia-siphilitica-great-blue-lobelia/,LOSI
Lonicera sempervirens,IzelPlants.com,https://www.izelplants.com/lonicera-sempervirens-trumpet-honeysuckle/,LOSE
Lycopus americanus,IzelPlants.com,https://www.izelplants.com/lycopus-americanus-american-water-horehound/,LYAM
Lythrum alatum,IzelPlants.com,https://www.izelplants.com/lythrum-alatum/,LYAL4
Mertensia virginica,IzelPlants.com,https://www.izelplants.com/mertensia-virginica-virginia-bluebells/,MEVI3
Mimulus ringens,IzelPlants.com,https://www.izelplants.com/mimulus-ringens-allegheny-monkeyflower/,MIRI
Monarda bradburiana,IzelPlants.com,https://www.izelplants.com/monarda-bradburiana-eastern-beebalm/,MOBR2
Monarda fistulosa,IzelPlants.com,https://www.izelplants.com/monarda-fistulosa-wild-bergamot/,MOFI
Monarda punctata,IzelPlants.com,https://www.izelplants.com/monarda-punctata-spotted-beebalm/,MOPU
Muhlenbergia capillaris,IzelPlants.com,https://www.izelplants.com/muhlenbergia-capillaris-hairawn-muhly/,MUCA2
Oenothera speciosa,IzelPlants.com,https://www.izelplants.com/oenothera-speciosa-pinkladies/,OESP2
Oligoneuron rigidum,IzelPlants.com,https://www.izelplants.com/oligoneuron-rigidum-stiff-goldenrod/,OLRI
Opuntia humifusa,IzelPlants.com,https://www.izelplants.com/opuntia-humifusa-devil-s-tongue/,OPHU
Osmunda claytoniana,IzelPlants.com,https://www.izelplants.com/osmunda-claytoniana-interrupted-fern/,OSCL2
Packera aurea,IzelPlants.com,https://www.izelplants.com/packera-aurea-golden-ragwort/,PAAU3
Panicum virgatum,IzelPlants.com,https://www.izelplants.com/panicum-virgatum-switchgrass/,PAVI2
Peltandra virginica,IzelPlants.com,https://www.izelplants.com/peltandra-virginica-green-arrow-arum/,PEVI
Penstemon calycosus,IzelPlants.com,https://www.izelplants.com/penstemon-calycosus-longsepal-beardtongue/,PECA7
Penstemon digitalis,IzelPlants.com,https://www.izelplants.com/penstemon-digitalis-foxglove-beardtongue/,PEDI
Penstemon pallidus,IzelPlants.com,https://www.izelplants.com/penstemon-pallidus-pale-beardtongue/,PEPA7
Physostegia virginiana,IzelPlants.com,https://www.izelplants.com/physostegia-virginiana-obedient-plant/,PHVI8
Polemonium reptans,IzelPlants.com,https://www.izelplants.com/polemonium-reptans-jacob-s-ladder/,PORE2
Polystichum acrostichoides,IzelPlants.com,https://www.izelplants.com/polystichum-acrostichoides-christmas-fern/,POAC4
Pycnanthemum flexuosum,IzelPlants.com,https://www.izelplants.com/pycnanthemum-flexuosum-appalachian-mountainmint/,PYFL
Pycnanthemum muticum,IzelPlants.com,https://www.izelplants.com/pycnanthemum-muticum-clustered-mountainmint/,PYMU
Pycnanthemum tenuifolium,IzelPlants.com,https://www.izelplants.com/pycnanthemum-tenuifolium-narrowleaf-mountainmint/,PYTE
Ratibida pinnata,IzelPlants.com,https://www.izelplants.com/ratibida-pinnata-pinnate-prairie-coneflower/,RAPI
Rudbeckia laciniata,IzelPlants.com,https://www.izelplants.com/rudbeckia-laciniata-cutleaf-coneflower/,RULA3
Rudbeckia triloba,IzelPlants.com,https://www.izelplants.com/rudbeckia-triloba-browneyed-susan/,RUTR2
Saururus cernuus,IzelPlants.com,https://www.izelplants.com/saururus-cernuus-lizard-s-tail/,SACE
Schizachyrium scoparium,IzelPlants.com,https://www.izelplants.com/schizachyrium-scoparium-little-bluestem/,SCSC
Schoenoplectus pungens,IzelPlants.com,https://www.izelplants.com/schoenoplectus-pungens-common-threesquare/,SCPU10
Schoenoplectus tabernaemontani,IzelPlants.com,https://www.izelplants.com/schoenoplectus-tabernaemontani-softstem-bulrush/,SCTA2
Scirpus atrovirens,IzelPlants.com,https://www.izelplants.com/scirpus-atrovirens-green-bulrush/,SCAT2
Scirpus cyperinus,IzelPlants.com,https://www.izelplants.com/scirpus-cyperinus-woolgrass/,SCCY
Scirpus pendulus,IzelPlants.com,https://www.izelplants.com/scirpus-pendulus-rufous-bulrush/,SCPE4
Scrophularia marilandica,IzelPlants.com,https://www.izelplants.com/scrophularia-marilandica-carpenter-s-square/,SCMA2
Scutellaria incana,IzelPlants.com,https://www.izelplants.com/scutellaria-incana-hoary-skullcap/,SCIN
Sedum ternatum,IzelPlants.com,https://www.izelplants.com/sedum-ternatum-woodland-stonecrop/,SETE3
Silene stellata,IzelPlants.com,https://www.izelplants.com/silene-stellata-widowsfrill/,SIST
Silphium laciniatum,IzelPlants.com,https://www.izelplants.com/silphium-laciniatum-compassplant/,SILA3
Silphium perfoliatum,IzelPlants.com,https://www.izelplants.com/silphium-perfoliatum-cup-plant/,SIPE2
Solidago bicolor,IzelPlants.com,https://www.izelplants.com/solidago-bicolor-white-goldenrod/,SOBI
Solidago caesia,IzelPlants.com,https://www.izelplants.com/solidago-caesia-wreath-goldenrod/,SOCA4
Solidago flexicaulis,IzelPlants.com,https://www.izelplants.com/solidago-flexicaulis-zigzag-goldenrod/,SOFL2
Solidago nemoralis,IzelPlants.com,https://www.izelplants.com/solidago-nemoralis-gray-goldenrod/,SONE
Solidago rugosa,IzelPlants.com,https://www.izelplants.com/solidago-rugosa-wrinkleleaf-goldenrod/,SORU2
Solidago ulmifolia,IzelPlants.com,https://www.izelplants.com/solidago-ulmifolia-elmleaf-goldenrod/,SOUL2
Sorghastrum nutans,IzelPlants.com,https://www.izelplants.com/sorghastrum-nutans-indiangrass/,SONU2
Symphyotrichum cordifolium,IzelPlants.com,https://www.izelplants.com/symphyotrichum-cordifolium-common-blue-wood-aster/,SYCO4
Symphyotrichum drummondii,IzelPlants.com,https://www.izelplants.com/symphyotrichum-drummondii-drummond-s-aster/,SYDR
Symphyotrichum laeve,IzelPlants.com,https://www.izelplants.com/symphyotrichum-laeve-smooth-blue-aster/,SYLA3
Symphyotrichum novae-angliae,IzelPlants.com,https://www.izelplants.com/symphyotrichum-novae-angliae-new-england-aster/,SYNO2
Symphyotrichum oblongifolium,IzelPlants.com,https://www.izelplants.com/symphyotrichum-oblongifolium-aromatic-aster/,SYOB
Symphyotrichum oolentangiense,IzelPlants.com,https://www.izelplants.com/symphyotrichum-oolentangiense-skyblue-aster/,SYOO
Taenidia integerrima,IzelPlants.com,https://www.izelplants.com/taenidia-integerrima-yellow-pimpernel/,TAIN
Thermopsis villosa,IzelPlants.com,https://www.izelplants.com/thermopsis-villosa-aaron-s-rod/,THVI
Tiarella cordifolia,IzelPlants.com,https://www.izelplants.com/tiarella-cordifolia-heartleaf-foamflower/,TICO
Tradescantia ohiensis,IzelPlants.com,https://www.izelplants.com/tradescantia-ohiensis-bluejacket/,TROH
Triodanis perfoliata,IzelPlants.com,https://www.izelplants.com/triodanis-perfoliata-clasping-venus-looking-glass/,TRPE4
Typha latifolia,IzelPlants.com,https://www.izelplants.com/typha-latifolia-broadleaf-cattail/,TYLA
Verbena hastata,IzelPlants.com,https://www.izelplants.com/verbena-hastata-swamp-verbena/,VEHA2
Verbena stricta,IzelPlants.com,https://www.izelplants.com/verbena-stricta-hoary-verbena/,VEST
Vernonia missurica,IzelPlants.com,https://www.izelplants.com/vernonia-missurica-missouri-ironweed/,VEMI2
Veronicastrum virginicum,IzelPlants.com,https://www.izelplants.com/veronicastrum-virginicum-culver-s-root/,VEVI4
Zizia aurea,IzelPlants.com,https://www.izelplants.com/zizia-aurea-golden-zizia/,ZIAU
