Scientific Name,Root,URL,USDA Symbol
Acer negundo,MidAtlanticNatives.com,https://midatlanticnatives.com/product/bare-root-acer-negundo-wholesale-native-trees-for-sale/,ACNE2
Acer negundo,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-negundo-box-elder-maple-2-3-wholesale-native-bare-root-trees/,ACNE2
Acer rubrum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/wholesale-bare-root-maples-native-acer-rubrum-for-sale/,ACRU
Acer rubrum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/native-red-maple-trees-wholesale-fast-growing/,ACRU
Acer rubrum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-rubrum-red-maple-2-3ft-wholesale-native-bare-root-trees/,ACRU
Acer saccharinum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-saccharinum-silver-maple-wholesale-native-bare-root-trees/,ACSA2
Acer saccharinum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-saccharinum-wholesale-native-bare-root-trees/,ACSA2
Acer saccharinum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-saccharinum-silver-maple-wholesale-native-bare-root-trees-2/,ACSA2
Acer saccharum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/acer-saccharum-sugar-maple-12-18-wholesale-native-bare-root-trees/,ACSA3
Acer saccharum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/tree-seedlings-for-sale/,ACSA3
Actaea pachypoda,MidAtlanticNatives.com,https://midatlanticnatives.com/product/actaea-pachypoda-dolls-eyes/,ACPA
Actaea racemosa,MidAtlanticNatives.com,https://midatlanticnatives.com/product/actaea-racemosa-black-bugbane/,ACRA7
Adiantum pedatum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/wholesale-native-maidenhair-ferns/,ADPE
Asarum canadense,MidAtlanticNatives.com,https://midatlanticnatives.com/product/asarum-canadense-wild-ginger/,ASCA
Asimina triloba,MidAtlanticNatives.com,https://midatlanticnatives.com/product/asimina-triloba-paw-paw-12-18-native-bare-root-fruit-trees/,ASTR
Athyrium filix-femina,MidAtlanticNatives.com,https://midatlanticnatives.com/product/athyrium-filix-femina-southern-lady-fern/,ATFI
Betula nigra,MidAtlanticNatives.com,https://midatlanticnatives.com/product/river-birch-trees-for-sale/,BENI
Betula nigra,MidAtlanticNatives.com,https://midatlanticnatives.com/product/wholesale-river-birch-trees/,BENI
Calycanthus floridus,MidAtlanticNatives.com,https://midatlanticnatives.com/product/calycanthus-floridus-sweetshrub-native-bare-root-shrubs/,CAFL22
Calycanthus floridus,MidAtlanticNatives.com,https://midatlanticnatives.com/product/calycanthus-floridus-wholesale-native-bare-root-shrubs-2/,CAFL22
Calycanthus floridus,MidAtlanticNatives.com,https://midatlanticnatives.com/product/calycanthus-floridus-wholesale-native-bare-root-shrubs/,CAFL22
Campsis radicans,MidAtlanticNatives.com,https://midatlanticnatives.com/product/campsis-radicans-trumpet-creeper-native-bare-root-perennials/,CARA2
Carex plantaginea,MidAtlanticNatives.com,https://midatlanticnatives.com/product/carex-plantaginea-plantainleaf-sedge-wholesale-native-bare-root-perennial-grass/,CAPL4
Carex platyphylla,MidAtlanticNatives.com,https://midatlanticnatives.com/product/carex-platyphylla-broadleaf-sedge-wholesale-native-bare-root-perennial-grass/,CAPL5
Carpinus caroliniana,MidAtlanticNatives.com,https://midatlanticnatives.com/product/american-hornbeam-carpinus-caroliniana-native-tree-farm/,CACA18
Carpinus caroliniana,MidAtlanticNatives.com,https://midatlanticnatives.com/product/hornbeam-ironwood-trees-for-sale/,CACA18
Celtis occidentalis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/hackberry-trees-for-sale/,CEOC
Celtis occidentalis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/native-celtis-occidentalis-hackberry/,CEOC
Cephalanthus occidentalis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/cephalanthus-occidentalis-wholesale-native-bare-root-shrubs/,CEOC2
Cephalanthus occidentalis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/native-bare-root-shrubs-for-sale-calycanthus-floridus-sweetshrub-2/,CEOC2
Cephalanthus occidentalis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/cephalanthus-occidentalis-wholesale-native-bare-root-shrubs-2/,CEOC2
Cercis canadensis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/wholesale-native-redbud-trees/,CECA4
Cercis canadensis,MidAtlanticNatives.com,https://midatlanticnatives.com/product/native-redbud-trees-wholesale/,CECA4
Chionanthus virginicus,MidAtlanticNatives.com,https://midatlanticnatives.com/product/chionanthus-virginicus-virginia-fringetree-old-mans-beard-sweetheart-tree-12-18/,CHVI3
Chrysopsis mariana,MidAtlanticNatives.com,https://midatlanticnatives.com/product/chrysopsis-mariana-maryland-golden-aster-wholesale-native-bare-root-perennials/,CHMA14
Cornus amomum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/cornus-amomum-wholesale-native-bare-root-shrubs/,COAM2
Cornus amomum,MidAtlanticNatives.com,https://midatlanticnatives.com/product/cornus-amomum-wholesale-native-bare-root-shrubs-2/,COAM2
