Scientific Name,Root,URL,USDA Symbol
Achillea millefolium,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p618/achillea_millefolium.html,ACMI2
Adiantum pedatum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p307/adiantum_pedatum.html,ADPE
Amsonia tabernaemontana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p9/amsonia_tabernaemontana.html,AMTA2
Aquilegia canadensis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p211/aquilegia_canadensis.html,AQCA
Aruncus dioicus,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p300/aruncus_dioicus.html,ARDI8
Asclepias incarnata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p87/asclepias_incarnata.html,ASIN
Asclepias tuberosa,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p722/asclepias_tuberosa.html,ASTU
Baptisia alba,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p222/baptisia_alba.html,BAAL
Baptisia australis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p8/baptisia_australis.html,BAAU
Carex flaccosperma,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p403/carex_flaccosperma.html,CAFL3
Carex pensylvanica,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p91/carex_pensylvanica.html,CAPE6
Carex plantaginea,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p93/carex_plantaginea.html,CAPL4
Carex stricta,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p487/carex_stricta.html,CAST8
Chasmanthium latifolium,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p13/chasmanthium_latifolium.html,CHLA5
Chelone glabra,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p88/chelone_glabra.html,CHGL2
Chelone lyonii,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p5/chelone_lyonii_hot_lips.html,CHLY2
Chelone obliqua,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p361/chelone_obliqua_alba.html,CHOB3
Chrysogonum virginianum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p94/chrysogonum_virginianum_pierre.html,CHVI5
Conoclinium coelestinum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p234/conoclinium_coelestinum.html,COCO13
Coreopsis auriculata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p96/coreopsis_auriculata_nana.html,COAU
Coreopsis grandiflora,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p158/coreopsis_grandiflora_domino.html,COGR5
Coreopsis tripteris,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p631/coreopsis_tripteris_gold_standard.html,COTR4
Coreopsis verticillata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p288/coreopsis_golden_gain.html,COVE5
Dryopteris marginalis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p237/dryopteris_marginalis.html,DRMA4
Echinacea pallida,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p233/echinacea_pallida.html,ECPA
Echinacea purpurea,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p382/echinacea_purpurea.html,ECPU
Elymus hystrix,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p730/elymus_hystrix.html,ELHY
Eragrostis spectabilis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p567/eragrostis_spectabilis.html,ERSP
Eryngium yuccifolium,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p561/eryngium_yuccifolium.html,ERYU
Euthamia caroliniana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p562/euthamia_caroliniana.html,EUCA26
Gelsemium sempervirens,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p401/gelsemium_sempervirens_margarita.html,GESE
Geranium maculatum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p661/geranium_maculatum.html,GEMA
Helenium autumnale,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p245/helenium_autumnale_helena_gold.html,HEAU
Helenium flexuosum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p731/helenium_flexuosum.html,HEFL
Helianthus microcephalus,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p406/Helianthus_microcephalus_lemon_queen.html,HEMI3
Heuchera americana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p28/heuchera_americana_green_spice.html,HEAM6
Heuchera villosa,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p29/heuchera_villosa_autumn_bride.html,HEVI2
Hibiscus coccineus,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p249/hibiscus_coccineus.html,HICO2
Hibiscus moscheutos,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p407/hibiscus_moscheutos.html,HIMO
Iris cristata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p37/iris_cristata.html,IRCR
Liatris aspera,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p339/liatris_aspera.html,LIAS
Liatris microcephala,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p341/liatris_microcephala.html,LIMI7
Liatris spicata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p255/liatris_spicata.html,LISP
Lobelia cardinalis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p43/lobelia_cardinalis.html,LOCA2
Lobelia siphilitica,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p71/lobelia_siphilitica.html,LOSI
Lonicera sempervirens,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p422/lonicera_sempervirens.html,LOSE
Mertensia virginica,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p181/mertensia_virginica.html,MEVI3
Monarda fistulosa,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p324/monarda_fistulosa.html,MOFI
Monarda punctata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p260/monarda_punctata.html,MOPU
Muhlenbergia capillaris,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p49/muhlenbergia_capillaris.html,MUCA2
Osmunda cinnamomea,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p306/osmunda_cinnamomea.html,OSCI
Osmunda claytoniana,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p390/osmunda_claytoniana.html,OSCL2
Panicum virgatum,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p116/panicum_virgatum_cheyenne_sky.html,PAVI2
Penstemon digitalis,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p264/penstemon_digitalis.html,PEDI
Phlox divaricata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p693/phlox_divaricata_blue_moon.html,PHDI5
Phlox glaberrima,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p319/phlox_glaberrima_morris_berd.html,PHGL4
Phlox maculata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p595/phlox_maculata.html,PHMA4
Phlox paniculata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p53/phlox_paniculata_david.html,PHPA9
Phlox stolonifera,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p435/phlox_stolonifera_blue_ridge.html,PHST3
Phlox subulata,PlantMoreNatives.com,https://www.plantmorenatives.com/store/p598/phlox_subulata_drummonds_pink.html,PHSU3
