Scientific Name,Root,URL,USDA Symbol
Actaea pachypoda,PrairieMoon.com,https://www.prairiemoon.com/actaea-pachypoda-dolls-eyes-prairie-moon-nursery.html,ACPA
Agalinis auriculata,PrairieMoon.com,https://www.prairiemoon.com/agalinis-auriculata-ear-leaf-false-foxglove-prairie-moon-nursery.html,AGAU3
Agalinis tenuifolia,PrairieMoon.com,https://www.prairiemoon.com/agalinis-tenuifolia-slender-false-foxglove-prairie-moon-nursery.html,AGTE3
Agastache nepetoides,PrairieMoon.com,https://www.prairiemoon.com/agastache-nepetoides-yellow-giant-hyssop-prairie-moon-nursery.html,AGNE2
Ageratina altissima,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-rugosum-white-snakeroot-prairie-moon-nursery.html,AGAL5
Agrimonia gryposepala,PrairieMoon.com,https://www.prairiemoon.com/agrimonia-gryposepala-tall-hairy-agrimony,AGGR2
Agrimonia striata,PrairieMoon.com,https://www.prairiemoon.com/agrimonia-striata-roadside-agrimony,AGST
Alisma subcordatum,PrairieMoon.com,https://www.prairiemoon.com/alisma-subcordatum-mud-plantain-prairie-moon-nursery.html,ALSU
Allium canadense,PrairieMoon.com,https://www.prairiemoon.com/allium-canadense-wild-garlic-prairie-moon-nursery.html,ALCA3
Allium cernuum,PrairieMoon.com,https://www.prairiemoon.com/allium-cernuum-nodding-onion-prairie-moon-nursery.html,ALCE2
Allium tricoccum,PrairieMoon.com,https://www.prairiemoon.com/allium-tricoccum-wild-leek-prairie-moon-nursery.html,ALTR3
Ammannia coccinea,PrairieMoon.com,https://www.prairiemoon.com/ammannia-coccinea-scarlet-toothcup-prairie-moon-nursery.html,AMCO
Amorpha fruticosa,PrairieMoon.com,https://www.prairiemoon.com/amorpha-fruticosa-false-indigo-prairie-moon-nursery.html,AMFR
Amsonia tabernaemontana,PrairieMoon.com,https://www.prairiemoon.com/amsonia-taberneamontana-eastern-bluestar-prairie-moon-nursery.html,AMTA2
Andropogon gerardii,PrairieMoon.com,https://www.prairiemoon.com/andropogon-gerardii-big-bluestem-prairie-moon-nursery.html,ANGE
Andropogon virginicus,PrairieMoon.com,https://www.prairiemoon.com/andropogon-virginica.html,ANVI2
Antennaria parlinii,PrairieMoon.com,https://www.prairiemoon.com/antennaria-parlinii-parlins-pussytoes,ANPA9
Antennaria plantaginifolia,PrairieMoon.com,https://www.prairiemoon.com/antennaria-plantaginifolia-pussytoes,ANPL
Apocynum cannabinum,PrairieMoon.com,https://www.prairiemoon.com/apocynum-cannabinun-dogbane,APCA
Aquilegia canadensis,PrairieMoon.com,https://www.prairiemoon.com/aquilegia-canadensis-columbine,AQCA
Aralia racemosa,PrairieMoon.com,https://www.prairiemoon.com/aralia-racemosa-spikenard-prairie-moon-nursery.html,ARRA
Aralia spinosa,PrairieMoon.com,https://www.prairiemoon.com/aralia-spinosa-devils-walking-stick,ARSP2
Arisaema dracontium,PrairieMoon.com,https://www.prairiemoon.com/arisaema-dracontium-green-dragon-prairie-moon-nursery.html,ARDR3
