USDA,Root,COUNT,Web,Scientific Name,Common Name,String
ACMI2,"ErnstSeed.com, IzelPlants.com, PlantMoreNatives.com, ToadShade.com",4,"https://www.izelplants.com/achillea-millefolium-common-yarrow/, https://www.plantmorenatives.com/store/p618/achillea_millefolium.html, https://www.ernstseed.com/product/common-yarrow/, https://www.toadshade.com/Achillea-millefolium.html",Achillea millefolium,Common Yarrow,"Common Yarrow (Achillea millefolium): ErnstSeed.com, IzelPlants.com, PlantMoreNatives.com, ToadShade.com"
ACNE2,"ToadShade.com, MidAtlanticNatives.com",3,"https://www.toadshade.com/Acer-negundo.html, https://midatlanticnatives.com/product/bare-root-acer-negundo-wholesale-native-trees-for-sale/, https://midatlanticnatives.com/product/acer-negundo-box-elder-maple-2-3-wholesale-native-bare-root-trees/",Acer negundo,Boxelder,"Boxelder (Acer negundo): ToadShade.com, MidAtlanticNatives.com"
ACPA,"MidAtlanticNatives.com, PrairieMoon.com",2,"https://www.prairiemoon.com/actaea-pachypoda-dolls-eyes-prairie-moon-nursery.html, https://midatlanticnatives.com/product/actaea-pachypoda-dolls-eyes/",Actaea pachypoda,White Baneberry,"White Baneberry (Actaea pachypoda): MidAtlanticNatives.com, PrairieMoon.com"
ACRA7,MidAtlanticNatives.com,1,https://midatlanticnatives.com/product/actaea-racemosa-black-bugbane/,Actaea racemosa,Black Baneberry,Black Baneberry (Actaea racemosa): MidAtlanticNatives.com
ACRU,MidAtlanticNatives.com,3,"https://midatlanticnatives.com/product/native-red-maple-trees-wholesale-fast-growing/, https://midatlanticnatives.com/product/wholesale-bare-root-maples-native-acer-rubrum-for-sale/, https://midatlanticnatives.com/product/acer-rubrum-red-maple-2-3ft-wholesale-native-bare-root-trees/",Acer rubrum,Red Maple,Red Maple (Acer rubrum): MidAtlanticNatives.com
ACSA2,MidAtlanticNatives.com,3,"https://midatlanticnatives.com/product/acer-saccharinum-silver-maple-wholesale-native-bare-root-trees-2/, https://midatlanticnatives.com/product/acer-saccharinum-wholesale-native-bare-root-trees/, https://midatlanticnatives.com/product/acer-saccharinum-silver-maple-wholesale-native-bare-root-trees/",Acer saccharinum,Silver Maple,Silver Maple (Acer saccharinum): MidAtlanticNatives.com
ACSA3,"ToadShade.com, MidAtlanticNatives.com",3,"https://midatlanticnatives.com/product/acer-saccharum-sugar-maple-12-18-wholesale-native-bare-root-trees/, https://www.toadshade.com/Acer-saccharum.html, https://midatlanticnatives.com/product/tree-seedlings-for-sale/",Acer saccharum,Sugar Maple,"Sugar Maple (Acer saccharum): ToadShade.com, MidAtlanticNatives.com"
ADPE,"IzelPlants.com, PlantMoreNatives.com, MidAtlanticNatives.com",3,"https://midatlanticnatives.com/product/wholesale-native-maidenhair-ferns/, https://www.izelplants.com/adiantum-pedatum-northern-maidenhair/, https://www.plantmorenatives.com/store/p307/adiantum_pedatum.html",Adiantum pedatum,Northern Maidenhair,"Northern Maidenhair (Adiantum pedatum): IzelPlants.com, PlantMoreNatives.com, MidAtlanticNatives.com"
AEFL,ToadShade.com,1,https://www.toadshade.com/Aesculus-flava.html,Aesculus flava,Yellow Buckeye,Yellow Buckeye (Aesculus flava): ToadShade.com
AGAL5,"ToadShade.com, PrairieMoon.com",2,"https://www.toadshade.com/Ageratina-altissima.html, https://www.prairiemoon.com/eupatorium-rugosum-white-snakeroot-prairie-moon-nursery.html",Ageratina altissima,White Snakeroot,"White Snakeroot (Ageratina altissima): ToadShade.com, PrairieMoon.com"
AGAU3,PrairieMoon.com,1,https://www.prairiemoon.com/agalinis-auriculata-ear-leaf-false-foxglove-prairie-moon-nursery.html,Agalinis auriculata,Earleaf False Foxglove,Earleaf False Foxglove (Agalinis auriculata): PrairieMoon.com
AGGR2,PrairieMoon.com,1,https://www.prairiemoon.com/agrimonia-gryposepala-tall-hairy-agrimony,Agrimonia gryposepala,Tall Hairy Agrimony,Tall Hairy Agrimony (Agrimonia gryposepala): PrairieMoon.com
AGHY,ErnstSeed.com,1,https://www.ernstseed.com/product/winter-bentgrass-piedmont-nc-ecotype/?anchor=7,Agrostis hyemalis,Winter Bentgrass,Winter Bentgrass (Agrostis hyemalis): ErnstSeed.com
AGNE2,"ToadShade.com, PrairieMoon.com",2,"https://www.toadshade.com/Agastache-nepetoides.html, https://www.prairiemoon.com/agastache-nepetoides-yellow-giant-hyssop-prairie-moon-nursery.html",Agastache nepetoides,Yellow Giant Hyssop,"Yellow Giant Hyssop (Agastache nepetoides): ToadShade.com, PrairieMoon.com"
AGPA6,"ErnstSeed.com, ToadShade.com",2,"https://www.toadshade.com/Agrimonia-parviflora.html, https://www.ernstseed.com/product/small-flowered-agrimony-pa-ecotype/?anchor=2",Agrimonia parviflora,Harvestlice,"Harvestlice (Agrimonia parviflora): ErnstSeed.com, ToadShade.com"
AGPE,ErnstSeed.com,1,https://www.ernstseed.com/product/autumn-bentgrass-albany-pine-bush-ny-ecotype/?anchor=8,Agrostis perennans,Upland Bentgrass,Upland Bentgrass (Agrostis perennans): ErnstSeed.com
AGST,"ToadShade.com, PrairieMoon.com",2,"https://www.prairiemoon.com/agrimonia-striata-roadside-agrimony, https://www.toadshade.com/Agrimonia-striata.html",Agrimonia striata,Roadside Agrimony,"Roadside Agrimony (Agrimonia striata): ToadShade.com, PrairieMoon.com"
AGTE3,PrairieMoon.com,1,https://www.prairiemoon.com/agalinis-tenuifolia-slender-false-foxglove-prairie-moon-nursery.html,Agalinis tenuifolia,Slenderleaf False Foxglove,Slenderleaf False Foxglove (Agalinis tenuifolia): PrairieMoon.com
ALCA3,"ToadShade.com, PrairieMoon.com",2,"https://www.prairiemoon.com/allium-canadense-wild-garlic-prairie-moon-nursery.html, https://www.toadshade.com/Allium-canadense.html",Allium canadense,Meadow Garlic,"Meadow Garlic (Allium canadense): ToadShade.com, PrairieMoon.com"
